catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
10101300;10101300;"19""-Blindplatte 1HE, 3mm Al el";"19""-Front Panel 1U, in 3mm Al.";"Plaque 19"" 1U, 3mm alu, anod 1";"19""-Front Panel 1U, in 3mm Al."
10121300;10121300;"19""-Blindplatte 12HE, 3mm , el";"19""-Front Panel 12U, in 3mm Al";"Plaque 19"" 12U, 3mm alu, anod";"19""-Front Panel 12U, in 3mm Al"
10151300;10151300;"19""-Blindplatte 15HE, 3mm , el";"19""-Front Panel 15U, in 3mm Al";"Plaque 19"" 15U, 3mm alu, anod";"19""-Front Panel 15U, in 3mm Al"
10201300;10201300;"19""-Blindplatte 2HE, 3mm Al el";"19""-Front Panel 2U, in 3mm Al.";"Plaque 19"" 2U, 3mm alu, anod 1";"19""-Front Panel 2U, in 3mm Al."
10301300;10301300;"19""-Blindplatte 3HE, 3mm Al el";"19""-Front Panel 3U, in 3mm Al.";"Plaque 19"" 3U, 3mm alu, anod 1";"19""-Front Panel 3U, in 3mm Al."
10401300;10401300;"19""-Blindplatte 4HE, 3mm , elo";"19""-Front Panel 4U, in 3mm Al.";"Plaque 19"" 4U, 3mm alu, anod 1";"19""-Front Panel 4U, in 3mm Al."
10501300;10501300;"19""-Blindplatte 5HE, 3mm , elo";"19""-Front Panel 5U, in 3mm Al.";"Plaque 19"" 5U, 3mm alu, anod 1";"19""-Front Panel 5U, in 3mm Al."
10601300;10601300;"19""-Blindplatte 6HE, 3mm , elo";"19""-Front Panel 6U, in 3mm Al.";"Plaque 19"" 6U, 3mm alu, anod 1";"19""-Front Panel 6U, in 3mm Al."
10701300;10701300;"19""-Blindplatte 7HE, 3mm , elo";"19""-Front Panel 7U, in 3mm Al.";"Plaque 19"" 7U, 3mm alu, anod 1";"19""-Front Panel 7U, in 3mm Al."
10801300;10801300;"19""-Blindplatte 8HE, 3mm Al.,";"19""-Front Panel 8U, in 3mm Al.";"Plaque 19"" 8U, 3mm alu, anod 1";"19""-Front Panel 8U, in 3mm Al."
10901300;10901300;"19""-Blindplatte 9HE, 3mm , elo";"19""-Front Panel 9U, in 3mm Al.";"Plaque 19"" 9U, 3mm alu, anod 1";"19""-Front Panel 9U, in 3mm Al."
20000001;20000001;Sequenz 1HE/125B/209T, elox.,;Case Sequence 1U/125W/209D, anod-1,;Coffret Séquentiel 1U/125L/209P/anod.,;Case Sequence 1U/125W/209D, anod-1,
20000002;20000002;Sequenz 2HE/125B/209T, elox.,;Case Sequence 2U/125W/209D, anod-1,;Coffret Séquentiel 2U/125L/209P/anod.,;Case Sequence 2U/125W/209D, anod-1,
20000003;20000003;Sequenz 1HE/260B/209T, elox.,;Case Sequence 1U/260W/209D, anod-1,;Coffret Séquentiel 1U/260L/209P/anod.,;Case Sequence 1U/260W/209D, anod-1,
20000004;20000004;Sequenz 2HE/260B/209T, elox.,;Case Sequence 2U/260W/209D, anod-1,;Coffret Séquentiel 2U/260L/209P/anod.,;Case Sequence 2U/260W/209D, anod-1,
20000005;20000005;Sequenz 1HE/125B/264T, elox.,;Case Sequence 1U/125W/264D, anod-1,;Coffret Séquentiel 1U/125L/264P/anod.,;Case Sequence 1U/125W/264D, anod-1,
20000006;20000006;Sequenz 2HE/125B/264T, elox.,;Case Sequence 2U/125W/264D, anod-1,;Coffret Séquentiel 2U/125L/264P/anod.,;Case Sequence 2U/125W/264D, anod-1,
20000007;20000007;Sequenz 1HE/260B/264T, elox.,;Case Sequence 1U/260W/264D, anod-1,;Coffret Séquentiel 1U/260L/264P/anod.,;Case Sequence 1U/260W/264D, anod-1,
20000008;20000008;Sequenz 2HE/260B/264T, elox.,;Case Sequence 2U/260W/264D, anod-1,;Coffret Séquentiel 2U/260L/264P/anod.,;Case Sequence 2U/260W/264D, anod-1,
20000009;20000009;Sequenz 1HE/172B/209T, elox.,;Case Sequence 1U/172W/209D, anod-1,;Coffret Séquentiel 1U/172L/209P/anod.,;Case Sequence 1U/172W/209D, anod-1,
20000010;20000010;Sequenz 1HE/172B/264T, elox.,;Case Sequence 1U/172W/264D, anod-1,;Coffret Séquentiel 1U/172L/264P/anod.,;Case Sequence 1U/172W/264D, anod-1,
20000011;20000011;Sequenz 1HE/125B/209T, elox.,;Case Sequence 1U/125W/209D, anod-1;Coffret Séquentiel 1U/125L/209P/anod.,;Case Sequence 1U/125W/209D, anod-1
20000012;20000012;Sequenz 2HE/125B/209T, elox.,;Case Sequence 2U/125W/209D, anod-1;Coffret Séquentiel 2U/125L/209P/anod.,;Case Sequence 2U/125W/209D, anod-1
20000013;20000013;Sequenz 1HE/260B/209T, elox.,;Case Sequence 1U/260W/209D, anod-1;Coffret Séquentiel 1U/260L/209P/anod.,;Case Sequence 1U/260W/209D, anod-1
20000014;20000014;Sequenz 2HE/260B/209T, elox.,;Case Sequence 2U/260W/209D, anod-1;Coffret Séquentiel 2U/260L/209P/anod.,;Case Sequence 2U/260W/209D, anod-1
20000015;20000015;Sequenz 1HE/125B/264T, elox.,;Case Sequence 1U/125W/264D, an;Coffret Séquentiel 1U/125L/264P/anod.,;Case Sequence 1U/125W/264D, an
20000016;20000016;Sequenz 2HE/125B/264T, elox.,;Case Sequence 2U/125W/264D, anod-1;Coffret Séquentiel 2U/125L/264P/anod.,;Case Sequence 2U/125W/264D, anod-1
20000017;20000017;Sequenz 1HE/260B/264T, elox.,;Case Sequence 1U/260W/264D, anod-1;Coffret Séquentiel 1U/260L/264P/anod.,;Case Sequence 1U/260W/264D, anod-1
20000018;20000018;Sequenz 2HE/260B/264T, elox.,;Case Sequence 2U/260W/264D, an;Coffret Séquentiel 2U/260L/264P/anod.,;Case Sequence 2U/260W/264D, an
20000019;20000019;Sequenz 1HE/172B/209T, elox.,;Case Sequence 1U/172W/209D, anod-1;Coffret Séquentiel 1U/172L/209P/anod.,;Case Sequence 1U/172W/209D, anod-1
20000020;20000020;Sequenz 1HE/172B/264T, elox.,;Case Sequence 1U/172W/264D, an;Coffret Séquentiel 1U/172L/264P/anod.,;Case Sequence 1U/172W/264D, an
20000021;20000021;Sequenz 1HE/125B/209T, RAL7035;Case Sequence 1U/125W/209D, RAL 703;Coffret Séquentiel 1U/125L/209P/RAL703;Case Sequence 1U/125W/209D, RAL 703
20000022;20000022;Sequenz 2HE/125B/209T, RAL7035;Case Sequence 2U/125W/209D, RAL 703;Coffret Séquentiel 2U/125L/209P/RAL703;Case Sequence 2U/125W/209D, RAL 703
20000023;20000023;Sequenz 1HE/260B/209T, RAL7035;Case Sequence 1U/260W/209D, RAL 703;Coffret Séquentiel 1U/260L/209P/RAL703;Case Sequence 1U/260W/209D, RAL 703
20000024;20000024;Sequenz 2HE/260B/209T, RAL7035;Case Sequence 2U/260W/209D, RA;Coffret Séquentiel 2U/260L/209P/RAL703;Case Sequence 2U/260W/209D, RA
20000025;20000025;Sequenz 1HE/125B/264T, RAL7035;Case Sequence 1U/125W/264D, RA;Coffret Séquentiel 1U/125L/264P/RAL703;Case Sequence 1U/125W/264D, RA
20000026;20000026;Sequenz 2HE/125B/264T, RAL7035;Case Sequence 2U/125W/264D, RA;Coffret Séquentiel 2U/125L/264P/RAL703;Case Sequence 2U/125W/264D, RA
20000027;20000027;Sequenz 1HE/260B/264T, RAL7035;Case Sequence 1U/260W/264D, RA;Coffret Séquentiel 1U/260L/264P/RAL703;Case Sequence 1U/260W/264D, RA
20000028;20000028;Sequenz 2HE/260B/264T, RAL7035;Case Sequence 2U/260W/264DP;Coffret Séquentiel 2U/260L/264;Case Sequence 2U/260W/264DP
20000029;20000029;Sequenz 1HE/172B/209T, RAL7035;Case Sequence 1U/172W/209D, RAL 703;Coffret Séquentiel 1U/172L/209P/RAL703;Case Sequence 1U/172W/209D, RAL 703
20000030;20000030;Sequenz 1HE/172B/264T, RAL7035;Case Sequence 1U/172W/264D, RA;Coffret Séquentiel 1U/172L/264P/RAL703;Case Sequence 1U/172W/264D, RA
20000031;20000031;Sequenz 1HE/125B/209T, RAL7035;Case Sequence 1U/125W/209D, RA;Coffret Séquentiel 1U/125L/209P/RAL703;Case Sequence 1U/125W/209D, RA
20000032;20000032;Sequenz 2HE/125B/209T, RAL7035;Case Sequence 2U/125W/209D, RA;Coffret Séquentiel 2U/125L/209P/RAL703;Case Sequence 2U/125W/209D, RA
20000033;20000033;Sequenz 1HE/260B/209T, RAL7035;Case Sequence 1U/260W/209D, RA;Coffret Séquentiel 1U/260L/209P/RAL703;Case Sequence 1U/260W/209D, RA
20000034;20000034;Sequenz 2HE/260B/209T, RAL7035;Case Sequence 2U/260W/209D, RA;Coffret Séquentiel 2U/260L/209P/RAL703;Case Sequence 2U/260W/209D, RA
20000035;20000035;Sequenz 1HE/125B/264T, RAL7035;Case Sequence 1U/125W/264D, RA;Coffret Séquentiel 1U/125L/264P/RAL703;Case Sequence 1U/125W/264D, RA
20000036;20000036;Sequenz 2HE/125B/264T, RAL7035;Case Sequence 2U/125W/264D, RA;Coffret Séquentiel 2U/125L/264P/RAL703;Case Sequence 2U/125W/264D, RA
20000037;20000037;Sequenz 1HE/260B/264T, RAL7035;Case Sequence 1U/260W/264D, RA;Coffret Séquentiel 1U/260L/264P/RAL703;Case Sequence 1U/260W/264D, RA
20000038;20000038;Sequenz 2HE/260B/264T, RAL7035;Case Sequence 2U/260W/264D, RA;Coffret Séquentiel 2U/260L/264;Case Sequence 2U/260W/264D, RA
20000039;20000039;Sequenz 1HE/172B/209T, RAL7035;Case Sequence 1U/172W/209D, RA;Coffret Séquentiel 1U/172L/209P/RAL703;Case Sequence 1U/172W/209D, RA
20000040;20000040;Sequenz 1HE/172B/264T, RAL7035;Case Sequence 1U/172W/264D, RA;Coffret Séquentiel 1U/172L/264P/RAL703;Case Sequence 1U/172W/264D, RA
20215001;20215001;HF-Front/Rückplatte 1HE/125B,e;RFI front/rear panel 1U/125W,;Plaque arr1U/125L,av.anod/ar.alo;RFI front/rear panel 1U/125W,
20215002;20215002;HF-Front/Rückplatte 2HE/125B,e;RFI front/rear panel 2U/125W,;Plaque arr2U/125L,av.anod/ar.alo;RFI front/rear panel 2U/125W,
20215003;20215003;HF-Front/Rückplatte 1HE/260B,e;RFI front/rear panel 1U/260W,;Plaque arr1U/260L,av.anod/ar.alo;RFI front/rear panel 1U/260W,
20215004;20215004;HF-Front/Rückplatte 2HE/260B,e;Sequence RFI Front-/rearpanel;Plaque arr2U/260L,av.anod/ar.alo;Sequence RFI Front-/rearpanel
20217000;20217000;Trage- u. Aufstellgriff B=125,;Carrying/support handle 125W f;Poignée béquille L=125, pour S;Carrying/support handle 125W f
20217001;20217001;Trage- u. Aufstellgriff B=260,;Carrying/support handle W=260;Poignée béquille L=260;Carrying/support handle W=260
20415001;20415001;Front-/Rückplatte 1HE/125B elo;Front-/ rear panel Sequence 1U;Plaque front./arrière 1U/125L,;Front-/ rear panel Sequence 1U
20415002;20415002;Front-/Rückplatte 2HE/125B, el;Front-/ rear panel Sequence 2U;Plaque front./arrière 2U/125L,;Front-/ rear panel Sequence 2U
20415003;20415003;Front-/Rückplatte 1HE/260B, el;Front-/ rear panel Sequence 1U;Plaque front./arrière 1U/260L,;Front-/ rear panel Sequence 1U
20415004;20415004;Front-/Rückplatte 2HE/260B, el;Front-/rearpanel 2U/260W, anod;Plaque front./arrière 2U/260L,;Front-/rearpanel 2U/260W, anod
20415011;20415011;Front-/Rückplatte 1HE/125B, el;Front/rear panel 1U/125W, anod;Plaque.arr. 1U/125L,av. anod /;Front/rear panel 1U/125W, anod
20415012;20415012;Front-/Rückplatte 2HE/125B, el;Front/rear panel 2U/125W anod/;Plaque.arr. 2U/125L,av. anod /;Front/rear panel 2U/125W anod/
20415013;20415013;Front-/Rückplatte 1HE/260B, el;Front/rear panel 1U/260W anod/;Plaque.arr. 1U/260L,av. anod /;Front/rear panel 1U/260W anod/
20415014;20415014;Front-/Rückplatte 2HE/260B, el;Front-/rear plate 2U/260W, ano;Plaque frontal/arrière 2U/260L;Front-/rear plate 2U/260W, ano
20415015;20415015;Front-/Rückplatte 1HE/172B elo;Front-/ rear panel Sequence 1U;Face avant/arrière 1U/L=172mm;Front-/ rear panel Sequence 1U
20415016;20415016;Front-/Rückplatte 1HE/172B, el;Front/rear panel 1U/172W, anod;Plaque.arr. 1U/172L,av. anod /;Front/rear panel 1U/172W, anod
20415017;20415017;Front/Rückplatte 1HE/172B,elox;RFI front/rear panel 1U/172W,;Plaque arr1U/172L,av.anod/ar.alo;RFI front/rear panel 1U/172W,
20417001;20417001;Zwischenprofil Sequenz T=209mm;Splitting Extrusion Sequence 2;Paroi interm Séquentiel P=209m;Splitting Extrusion Sequence 2
20417002;20417002;Zwischenprofil Sequenz T=209mm;Splitting Extrusion Sequence 2;Paroi interm Séquentiel P=209m;Splitting Extrusion Sequence 2
20417003;20417003;Zwischenprofil Sequenz T=264mm;Splitting Extrusion Sequence 2;Paroi interm Séquentiel P=264m;Splitting Extrusion Sequence 2
20417004;20417004;Zwischenprofil Sequenz T=264mm;Splitting Extrusion Sequence 2;Paroi interm Séquentiel P=264m;Splitting Extrusion Sequence 2
21000013;21000013;Gehäuse SmarTEC 65 115 183 get;Case SmarTEC 65 115 183 in two;Boîtier SmarTEC 65 115 183 en;Case SmarTEC 65 115 183 in two
21000015;21000015;Gehäuse SmarTEC 85 275 243 geteil;Case SmarTEC 85 275 243 in two;Boîtier SmarTEC 85 275 243 en;Case SmarTEC 85 275 243 in two
21000021;21000021;Gehäuse SmarTEC 45 85 123 Tubu;Case SmarTEC 45 85 123 tube;Boîtier SmarTEC 45 85 123 mono;Case SmarTEC 45 85 123 tube
21000022;21000022;Gehäuse SmarTEC 65 115 183 Tub;Case SmarTEC 65 115 183 tube;Boîtier SmarTEC 65 115 183 mon;Case SmarTEC 65 115 183 tube
21000024;21000024;Gehäuse SmarTEC 85 275 243 Tub;Case SmarTEC 85 275 243 tube;Boîtier SmarTEC 85 275 243 mon;Case SmarTEC 85 275 243 tube
21001001;21001001;Rahmen SmarTEC 45 85 geschloss;Frame SmarTEC 45 85 closed;Cadre SmarTEC 45 85 fermé;Frame SmarTEC 45 85 closed
21001002;21001002;Rahmen SmarTEC 45 115 geschlos;Frame SmarTEC 45 115 closed;Cadre SmarTEC 45 115 fermé;Frame SmarTEC 45 115 closed
21001003;21001003;Rahmen SmarTEC 65 115 geschlos;Frame SmarTEC 65 115 closed;Cadre SmarTEC 65 115 fermé;Frame SmarTEC 65 115 closed
21001005;21001005;Rahmen SmarTEC 65 175 geschlos;Frame SmarTEC 65 175 closed;Cadre SmarTEC 65 175 fermé;Frame SmarTEC 65 175 closed
21001006;21001006;Rahmen SmarTEC 85 175 geschlos;Frame SmarTEC 85 175 closed;Cadre SmarTEC 85 175 fermé;Frame SmarTEC 85 175 closed
21001008;21001008;Rahmen SmarTEC 85 275 geschlos;Frame SmarTEC 85 275 closed;Cadre SmarTEC 85 275 fermé;Frame SmarTEC 85 275 closed
21001011;21001011;Rahmen SmarTEC 45 85 offen Pul;Frame SmarTEC 45 85 open;Cadre SmarTEC 45 85 ouvert;Frame SmarTEC 45 85 open
21001012;21001012;Rahmen SmarTEC 45 115 offen Pu;Frame SmarTEC 45 115 open;Cadre SmarTEC 45 115 ouvert;Frame SmarTEC 45 115 open
21001013;21001013;Rahmen SmarTEC 65 115 offen Pu;Frame SmarTEC 65 115 open;Cadre SmarTEC 65 115 ouvert;Frame SmarTEC 65 115 open
21001015;21001015;Rahmen SmarTEC 65 175 offen;Frame SmarTEC 65 175 open;Cadre SmarTEC 65 175 ouvert;Frame SmarTEC 65 175 open
21001016;21001016;Rahmen SmarTEC 85 175 offen Pu;Frame SmarTEC 85 175 open;Cadre SmarTEC 85 175 ouvert;Frame SmarTEC 85 175 open
21001018;21001018;Rahmen SmarTEC 85 275 offen Pu;Frame SmarTEC 85 275 open;Cadre SmarTEC 85 275 ouvert;Frame SmarTEC 85 275 open
21002001;21002001;Front-/Rückplatte SmarTEC 45 8;Front / rear plate SmarTEC 45;Face avant / arrière SmarTEC 4;Front / rear plate SmarTEC 45
21002002;21002002;Front Rückplatte SmarTEC 45 11;Front / rear plate SmarTEC 45;Face avant / arrière SmarTEC 4;Front / rear plate SmarTEC 45
21002003;21002003;Front Rückplatte SmarTEC 65 11;Front / rear plate SmarTEC 65;Face avant / arrière SmarTEC 6;Front / rear plate SmarTEC 65
21002005;21002005;Front Rückplatte SmarTEC 65 17;Front / rear plate SmarTEC 65;Face avant / arrière SmarTEC 6;Front / rear plate SmarTEC 65
21002006;21002006;Front Rückplatte SmarTEC 85 17;Front / rear plate SmarTEC 85;Face avant / arrière SmarTEC 8;Front / rear plate SmarTEC 85
21002008;21002008;Front-/Rückplatte SmarTEC 85 27;Front / rear plate SmarTEC 85;Face avant / arrière SmarTEC 8;Front / rear plate SmarTEC 85
21003001;21003001;Profil SmarTEC 45 85 105 Tubus;Extrusion SmarTEC 45 85 105 tu;Profilé SmarTEC 45 85 105 mono;Extrusion SmarTEC 45 85 105 tu
21003002;21003002;Profil SmarTEC 45 115 105 Tubu;Extrusion SmarTEC 45 115 105 t;Profilé SmarTEC 45 115 105 mon;Extrusion SmarTEC 45 115 105 t
21003004;21003004;Profil SmarTEC 65 115 105 Tubu;Extrusion SmarTEC 65 115 105 t;Profilé SmarTEC 65 115 105 mon;Extrusion SmarTEC 65 115 105 t
21003005;21003005;Profil SmarTEC 65 175 105 Tubu;Extrusion SmarTEC 65 175 105 t;Profilé SmarTEC 65 175 105 mon;Extrusion SmarTEC 65 175 105 t
21003007;21003007;Profil SmarTEC 45 85 165 Tubus;Extrusion SmarTEC 45 85 165 tu;Profilé SmarTEC 45 85 165 mono;Extrusion SmarTEC 45 85 165 tu
21003008;21003008;Profil SmarTEC 45 115 165 Tubu;Extrusion SmarTEC 45 115 165 t;Profilé SmarTEC 45 115 165 mon;Extrusion SmarTEC 45 115 165 t
21003010;21003010;Profil SmarTEC 65 115 165 Tubu;Extrusion SmarTEC 65 115 165 t;Profilé SmarTEC 65 115 165 mon;Extrusion SmarTEC 65 115 165 t
21003011;21003011;Profil SmarTEC 65 175 165 Tubu;Extrusion SmarTEC 65 175 165 t;Profilé SmarTEC 65 175 165 mon;Extrusion SmarTEC 65 175 165 t
21003013;21003013;Profil SmarTEC 85 175 165 Tubu;Extrusion SmarTEC 85 175 165 t;Profilé SmarTEC 85 175 165 mon;Extrusion SmarTEC 85 175 165 t
21003014;21003014;Profil SmarTEC 85 275 165 Tubu;Extrusion SmarTEC 85 275 165 t;Profilé SmarTEC 85 275 165 mon;Extrusion SmarTEC 85 275 165 t
21003015;21003015;Profil SmarTEC 65 115 225 Tubu;Extrusion SmarTEC 65 115 225 t;Profilé SmarTEC 65 115 225 mon;Extrusion SmarTEC 65 115 225 t
21003016;21003016;Profil SmarTEC 65 175 225 Tubu;Extrusion SmarTEC 65 175 225 t;Profilé SmarTEC 65 175 225 mon;Extrusion SmarTEC 65 175 225 t
21003018;21003018;Profil SmarTEC 85 175 225 Tubu;Extrusion SmarTEC 85 175 225 t;Profilé SmarTEC 85 175 225 mon;Extrusion SmarTEC 85 175 225 t
21003019;21003019;Profil SmarTEC 85 275 225 Tubu;Extrusion SmarTEC 85 275 225 t;Profilé SmarTEC 85 275 225 mon;Extrusion SmarTEC 85 275 225 t
21003104;21003104;Profil SmarTEC 65 115 105 oben;Extrusion SmarTEC 65 115 105 t;Profilé SmarTEC 65 115 105 Par;Extrusion SmarTEC 65 115 105 t
21003105;21003105;Profil SmarTEC 65 175 105 oben;Extrusion SmarTEC 65 175 105 t;Profilé SmarTEC 65 175 105 Par;Extrusion SmarTEC 65 175 105 t
21003110;21003110;Profil SmarTEC 65 115 165 oben;Extrusion SmarTEC 65 115 165 t;Profilé SmarTEC 65 115 165 Par;Extrusion SmarTEC 65 115 165 t
21003111;21003111;Profil SmarTEC 65 175 165 oben;Extrusion SmarTEC 65 175 165 t;Profilé SmarTEC 65 175 165 Par;Extrusion SmarTEC 65 175 165 t
21003114;21003114;Profil SmarTEC 85 275 165 oben;Extrusion SmarTEC 85 275 165 t;Profilé SmarTEC 85 275 165 Par;Extrusion SmarTEC 85 275 165 t
21003115;21003115;Profil SmarTEC 65 115 225 oben;Extrusion SmarTEC 65 115 225 t;Profilé SmarTEC 65 115 225 Par;Extrusion SmarTEC 65 115 225 t
21003116;21003116;Profil SmarTEC 65 175 225 oben;Extrusion SmarTEC 65 175 225 t;Profilé SmarTEC 65 175 225 Par;Extrusion SmarTEC 65 175 225 t
21003119;21003119;Profil SmarTEC 85 275 225 oben;Extrusion SmarTEC 85 275 225 t;Profilé SmarTEC 85 275 225 Par;Extrusion SmarTEC 85 275 225 t
21003204;21003204;Profil SmarTEC 65 115 105 unte;Extrusion SmarTEC 65 115 105 b;Profilé SmarTEC 65 115 105 Par;Extrusion SmarTEC 65 115 105 b
21003205;21003205;Profil SmarTEC 65 175 105 unte;Extrusion SmarTEC 65 175 105 b;Profilé SmarTEC 65 175 105 Par;Extrusion SmarTEC 65 175 105 b
21003210;21003210;Profil SmarTEC 65 115 165 unte;Extrusion SmarTEC 65 115 165 b;Profilé SmarTEC 65 115 165 Par;Extrusion SmarTEC 65 115 165 b
21003211;21003211;Profil SmarTEC 65 175 165 unte;Extrusion SmarTEC 65 175 165 b;Profilé SmarTEC 65 175 165 Par;Extrusion SmarTEC 65 175 165 b
21003214;21003214;Profil SmarTEC 85 275 165 unte;Extrusion SmarTEC 85 275 165 b;Profilé SmarTEC 85 275 165 Par;Extrusion SmarTEC 85 275 165 b
21003215;21003215;Profil SmarTEC 65 115 225 unte;Extrusion SmarTEC 65 115 225 b;Profilé SmarTEC 65 115 225 Par;Extrusion SmarTEC 65 115 225 b
21003216;21003216;Profil SmarTEC 65 175 225 unte;Extrusion SmarTEC 65 175 225 b;Profilé SmarTEC 65 175 225 Par;Extrusion SmarTEC 65 175 225 b
21003219;21003219;Profil SmarTEC 85 275 225 unte;Extrusion SmarTEC 85 275 225 b;Profilé SmarTEC 85 275 225 Par;Extrusion SmarTEC 85 275 225 b
21004001;21004001;Montageteilesatz SmarTEC;Assembly kit SmarTEC;Kit de montage SmarTEC;Assembly kit SmarTEC
21004002;21004002;Rundschnur Moosgummi 2,5 mm L=;Round cord cellular rubber 2,5;Joint caoutchouc (Mousse) 2,5m;Round cord cellular rubber 2,5
21004301;21004301;Dichtung SmarTEC 45 85;Sealing SmarTEC 45 85;Joint SmarTEC 45 85;Sealing SmarTEC 45 85
21004302;21004302;Dichtung SmarTEC 45 115;Sealing SmarTEC 45 115;Joint SmarTEC 45 115;Sealing SmarTEC 45 115
21004303;21004303;Dichtung SmarTEC 65 115;Sealing SmarTEC 65 115;Joint SmarTEC 65 115;Sealing SmarTEC 65 115
21004306;21004306;Dichtung SmarTEC 85 175;Sealing SmarTEC 85 175;Joint SmarTEC 85 175;Sealing SmarTEC 85 175
21004308;21004308;Dichtung SmarTEC 85 275;Sealing SmarTEC 85 275;Joint SmarTEC 85 275;Sealing SmarTEC 85 275
21010001;21010001;Gehäuse CasTEC 200X120X55;Case CasTEC 200 x 120 x 55;Boîtier CasTEC 200 x 120 x 55;Case CasTEC 200 x 120 x 55
21010002;21010002;Gehäuse CasTEC 260X160X65;Case CasTEC 260 x 160 x 65;Boîtier CasTEC 260 x 160 x 65;Case CasTEC 260 x 160 x 65
21010003;21010003;Gehäuse CasTEC 260X160X105;Case CasTEC 260 x 160 x 105;Boîtier CasTEC 260 x 160 x 105;Case CasTEC 260 x 160 x 105
21010011;21010011;Wandmontagesatz CasTEC B128;Wall mounting kit CasTEC B128;Kit de montage mural CasTEC B1;Wall mounting kit CasTEC B128
21010012;21010012;Wandmontagesatz CasTEC B168;Wall mounting kit CasTEC B168;Kit de montage mural CasTEC B1;Wall mounting kit CasTEC B168
21010021;21010021;Montageblechsatz CasTEC B128;Mounting plate kit CasTEC B128;Tôle de montage CasTEC B128;Mounting plate kit CasTEC B128
21010022;21010022;Montageblechsatz CasTEC B168;Mounting plate kit CasTEC B168;Tôle de montage CasTEC B168;Mounting plate kit CasTEC B168
21010030;21010030;Montageteilsatz CasTEC Gehäuse;Assembly kit CasTEC M5;Kit de montage coffret CasTEC;Assembly kit CasTEC M5
21010031;21010031;Montageteilsatz CasTEC Gehäuse;Assembly kit CasTEC M6;Kit de montage coffret CasTEC;Assembly kit CasTEC M6
21010032;21010032;Montageteilsatz CasTEC Montage;Assembly kit CasTEC mountingpl;Kit de fix. tôle de montage Ca;Assembly kit CasTEC mountingpl
21010033;21010033;Montageteilsatz CasTEC Montage;Assembly kit CasTEC mountingpl;Kit de fix. tôle de montage Ca;Assembly kit CasTEC mountingpl
21010034;21010034;Montageteilsatz CasTEC Wandhal;Assembly kit CasTEC wall mount;Kit de montage mural CasTEC M5;Assembly kit CasTEC wall mount
21010035;21010035;Montageteilsatz CasTEC Wandhal;Assembly kit CasTEC wall mount;Kit de montage mural CasTEC M6;Assembly kit CasTEC wall mount
21100452;21100452;EMV-Dichtung 3x3mm leitf. Text;EMC-shielding strip 3x3mm;Joint textile CEM 3x3mm;EMC-shielding strip 3x3mm
22045007;22045007;Railo Frontplatte EK100/B=80mm;Railo front panel CE100/ W=80;RAILO face avant, PCB100/L=80;Railo front panel CE100/ W=80
22045008;22045008;Railo Frontplatte EK100/B=100m;Railo Front panel W=100;Face av. Railo CE100mm/ L.100,;Railo Front panel W=100
22045009;22045009;Railo Frontplatte EK100/B=160m;Railo Front panel PCB100/W=160;Face av. Railo CE100mm/ L.160,;Railo Front panel PCB100/W=160
22045010;22045010;Railo Frontabdeckung EK100/B=8;Front cover PCB100/ W=80;RAILO Recouvrement frontal CE1;Front cover PCB100/ W=80
22045011;22045011;Railo Frontabdeckung EK100/B=1;Railo Front cover W=100;RAILO Recouvrement fontal, L=1;Railo Front cover W=100
22045012;22045012;Railo Frontabdeckung EK100/B=1;Railo Front cover PCB100/ W=16;Recouvrement frontal RAILO  Ci;Railo Front cover PCB100/ W=16
22045020;22045020;Railo Adapterprofil T=80mm chr;Adapter extrusion W=80;RAILO Profilé suppl. L=80mm;Adapter extrusion W=80
22045021;22045021;Railo Adapterprofil T=100mm ch;Adapter extrusion  W=100;Profilé supplém. P.100 alod.;Adapter extrusion  W=100
22045022;22045022;Railo Adapterprofil T=160mm ch;Adapter extrusion B=160;Profilé supplém. P.160 alod.;Adapter extrusion B=160
22045023;22045023;Railo Adapterprofil ca.900mm c;Adapter extrusion D=900mm, alo;RAILO Profilé suppl., longueur;Adapter extrusion D=900mm, alo
22045101;22045101;Railo Basisprofil EK122/B=80mm;Railo platform extrusion PCB12;RAILO profilé de base CE122/L=;Railo platform extrusion PCB12
22045102;22045102;Railo Basisprofil EK122/B=100m;Railo platform extrusion PCB12;RAILO profilé de base CE122/ L;Railo platform extrusion PCB12
22045103;22045103;Railo Basisprofil EK122/B=160m;Railo platform extrusion PCB12;Profilé de base CE122/P.160 al;Railo platform extrusion PCB12
22045104;22045104;Railo Basisprofil EK122 B=930m;Railo platform extrusion PCB12;Railo profilé de base CE122/ L;Railo platform extrusion PCB12
22045106;22045106;Railo Klemmteilesatz EK100/122;Railo snap-on clip kit (1set =;Clips de fixation pour RAILO;Railo snap-on clip kit (1set =
22045107;22045107;Railo Frontplatte EK122/B=80mm;Frontpanel PCB122/ W=80;RAILO Recouvrement frontal, CE;Frontpanel PCB122/ W=80
22045108;22045108;Railo Frontplatte EK122/B=100m;Frontpanel PCB122/ W=100;Face av. Railo CE100mm/ L.100,;Frontpanel PCB122/ W=100
22045109;22045109;Railo Frontplatte EK122/B=160m;Railo Front panel PCB122/ W=16;Face av. Railo CE122mm/ L.160,;Railo Front panel PCB122/ W=16
