catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
79773500;79773500;Seitenwand S.77, 3HE/210T, chr;Side plate S.77 3U/210D, alodi;Paroi Sér77, 3U/210P/alod;Side plate S.77 3U/210D, alodi
79773600;79773600;Seitenwand S.77, 3HE/270T, chr;Side plate S.77 3U/270D, alodi;Paroi Sér77, 3U/270P/alod;Side plate S.77 3U/270D, alodi
79774100;79774100;Seitenwand S.77, 4HE/172,5T, elox;Side plate S.77 4U/172,5D, ano;Paroi Sér77, 4U/172,5P/anod.;Side plate S.77 4U/172,5D, ano
79774200;79774200;Seitenwand S.77, 4HE/210T, elox;Side plate S.77 4U/210D, anodi;Paroi Sér77, 4U/210P/anod.;Side plate S.77 4U/210D, anodi
79774300;79774300;Seitenwand S.77, 4HE/270T, elox;Side plate S.77 4U/270D, anodi;Paroi Sér77, 4U/270P/anod.;Side plate S.77 4U/270D, anodi
79774400;79774400;Seitenwand S.77, 4HE/172,5T, chr;Side plate S.77 4U/172,5D, alo;Paroi Sér77, 4U/172,5P/alod;Side plate S.77 4U/172,5D, alo
79774500;79774500;Seitenwand S.77, 4HE/210T, chr;Side plate S.77 4U/210D, alodi;Paroi Sér77, 4U/210P/alod;Side plate S.77 4U/210D, alodi
79774600;79774600;Seitenwand S.77, 4HE/270T, chrom.;Side plate S.77 4U/270D, alodi;Paroi Sér77, 4U/270P/alod;Side plate S.77 4U/270D, alodi
79776100;79776100;Seitenwand S.77, 6HE/172,5T, elox;Side plate S.77 6U/172,5D, ano;Paroi Sér77, 6U/172,5P/anod.;Side plate S.77 6U/172,5D, ano
79776200;79776200;Seitenwand S.77, 6HE/210T, elox;Side plate S.77 6U/210D, anodi;Paroi Sér77, 6U/210P/anod.;Side plate S.77 6U/210D, anodi
79776300;79776300;Seitenwand S.77 6HE/270T, elox-1;Side plate S.77 6U/270D, anod-;Paroi Sér77, 6U/270P/anod.;Side plate S.77 6U/270D, anod-
79776400;79776400;Seitenwand S.77, 6HE/172,5T, chr;Side plate S.77 6U/172,5D, alo;Paroi Sér77, 6U/172,5P, alodin;Side plate S.77 6U/172,5D, alo
79776500;79776500;Seitenwand S.77, 6HE/210T, chr;Side plate S.77 6U/210D, alod;Paroi Sér77, 6U/210P/alod;Side plate S.77 6U/210D, alod
79776600;79776600;Seitenwand S.77, 6HE/270T, chr;Side plate S.77 6U/270D, alodi;Paroi Sér77, 6U/270P/alod;Side plate S.77 6U/270D, alodi
79779100;79779100;Seitenwand S.77, 9HE/172,5T, elox-;Side plate S.77 9U/172,5D, ano;Paroi Sér77, 9U/172,5P/anod.;Side plate S.77 9U/172,5D, ano
79779200;79779200;Seitenwand S.77, 9HE/210T, elox;Side plate S.77 9U/210D, anodi;Paroi Sér77, 9U/210P/anod.;Side plate S.77 9U/210D, anodi
79779300;79779300;Seitenwand S.77, 9HE/270T, elox;Side plate S.77 9U/270D, anodi;Paroi Sér77, 9U/270P/anod.;Side plate S.77 9U/270D, anodi
79779400;79779400;Seitenwand S.77, 9HE/172,5T, chr;Side plate S.77 9U/172,5D, alo;Paroi Sér77, 9U/172,5P/alod;Side plate S.77 9U/172,5D, alo
79779500;79779500;Seitenwand S.77, 9HE/210T, chr;Side plate S.77 9U/210D, alodi;Paroi Sér77, 9U/210P/alod;Side plate S.77 9U/210D, alodi
79779600;79779600;Seitenwand S.77, 9HE/270T, chr;Side plate S.77 9U/270D, alodi;Paroi Sér77, 9U/270P/alod;Side plate S.77 9U/270D, alodi
79910100;79910100;ä. DIN7985 M4x12 Spvz glanzver;Pan-head screw M4x12 similar t;Vis auto bloquante TCL PZD, M4;Pan-head screw M4x12 similar t
79910200;79910200;DIN 7984 M4x12 verzinkt;Pan head screw M4 X 12, DIN;Vis CHC, M4x12, DIN 7984;Pan head screw M4 X 12, DIN
79910201;79910201;Zylinderschraube eco-syn 4x20 St v;Pan-head screw 4 X 20;Vis TC eco-syn 4x20 acier Torx;Pan-head screw 4 X 20
79910500;79910500;DIN 966 M2,5x8 ukpf und glanzv;DIN 966 M2,5x8, nickel plated;Vis à tête fraisé bombé M2,5x8;DIN 966 M2,5x8, nickel plated
79910600;79910600;DIN 966 M4x10 unterkupfert + v;DIN 966 M4x10, nickel plated;Vis TFB PZD, M4x10, DIN 966;DIN 966 M4x10, nickel plated
79910700;79910700;Sechskantmutter M2,5 DIN934 ve;DIN 934 hexagon nut M2,5 nicke;Ecrou H, M2,5, DIN 934;DIN 934 hexagon nut M2,5 nicke
79910800;79910800;DIN 7985 M2,5x8 vernickelt;DIN 7985 M2,5x8, nickel plated;Vis TC, M2,5x8, DIN 7985;DIN 7985 M2,5x8, nickel plated
79910900;79910900;Vierkantmutter m. Plastikschl.;Square nut with plastic saddle;Cage plastique + écrou carré,;Square nut with plastic saddle
79911200;79911200;Vierkantmutter m. Plastikschl.;Square nut with plastic saddle;Cage plastique + écrou carré,;Square nut with plastic saddle
79911300;79911300;DIN 7985 M2,5x12 unterkupfert;Pan head screw DIN 7985 M2,5;Vis à tête conique M2,5x12 DIN;Pan head screw DIN 7985 M2,5
79911600;79911600;DIN 965 M3x8 vernickelt;DIN 965 M3x8, nickel plated;Vis TF, M3x8, DIN 965;DIN 965 M3x8, nickel plated
79912300;79912300;DIN7985 M6x16 vernickelt Phili;Pan head screw M6x16, DIN7985;Vis TCL PZD, M6x16, DIN 7985;Pan head screw M6x16, DIN7985
79913000;79913000;Kunststoffunterlegscheibe schw;Plastic washer, black;Embase plastique;Plastic washer, black
79913100;79913100;Käfigmutter M6, weiß verzinkt;Cage nut KM 6;Ecrou-cage KM 6;Cage nut KM 6
79913200;79913200;DIN 7985 M5x12 vernickelt;Pan head screw M5x12, DIN7985;Vis tête plate, M5 x 12;Pan head screw M5x12, DIN7985
79913300;79913300;DIN 7985 M4x10 unterk+vernicke;DIN 7985 M4x10, nickel plated;Vis TC, M4x10, DIN 7985;DIN 7985 M4x10, nickel plated
79913400;79913400;DIN 965 M2,5x14 A2;Countersink screw DIN 965 M 2,;Vis M2,5x14 nickelée DIN 965;Countersink screw DIN 965 M 2,
79913500;79913500;DIN 562 4-kntmutter M2,5 SW 5x;Square nut DIN 562 M2,5;Ecrou carré, M2,5 / SW 5, acie;Square nut DIN 562 M2,5
79913800;79913800;Epr-Gewmu M3 Bdh0,97  S-M3-1 z;Insert nut M3;Ecrou à sertir, M3;Insert nut M3
